,Page,Members,Message,Date,Interactions,hrefs
48,victor,,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4 @infovestigacion #desinfodemia #pseudociencia #Covid_19","May 17, 2020",1,https://twitter.com/victor83024414/status/1261823552757661698
49,Carly 🌊,533 Followers,"@SethMacFarlane Exactly. ‘Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn.’ “Freedom to know nothing, understand nothing, form your own unsubstantiated opinion and massively harm the society around you.” - @RichardDawkins https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",1,https://twitter.com/ecol0gy/status/1261359146131054592
50,Aldo de Moor,"2,393 Followers","Very worrisome... - Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn #COVID19 #antivaxx #socialnetworks #SNA https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",1,https://twitter.com/ademoor/status/1261336168102273025
51,Sebastian Herrmann,"1,187 Followers",Die Netzwerke der Impfgegner und die hilflose Antwort der Aufklärer. #corona #covid-19 https://www.nature.com/articles/d41586-020-01423-4,"May 15, 2020",1,https://twitter.com/HerrSe/status/1261290115705516032
52,d̍̌ͨ͂̑͐arͣ̎̒̽̋̊̔ek̽̓ͤ̋̾͂́ je͐̋...,749 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/jedzok/status/1261079927727611905
53,Pedro Esteves,"1,098 Followers",@SofiaGama16 https://www.nature.com/articles/d41586-020-01423-4 :),"May 14, 2020",1,https://twitter.com/pestefm/status/1261026467816837122
54,David M. Hart,"1,421 Followers","Trouble ahead: ""[P]ages that explain the benefits of and the scientific case for vaccination are linked in a network that is largely disconnected from this “main battlefield” for public sentiment"" https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/ProfDavidHart/status/1261021627694931970
55,Gary Gray McKendrick,451 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn Studies of social networks show that opposition to vaccines is small but far-reaching — and growing. https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/BipolarRunner/status/1260989646210764802
56,Varro Analytics,"2,210 Followers","#COVID19 anti vaxx situation worse than it seems... @gwucolumbian study: ""anti-vaxx $FB profiles tend to have fewer followers but are more numerous... and are more often linked to in discussions on other pages — such as [UNDECIDED] parent associations"" https://www.nature.com/articles/d41586-020-01423-4 https://t.co/3LtdkJ3FpW","May 14, 2020",1,https://twitter.com/Varro_Analytics/status/1260984462978023427
57,Gal,"2,862 Followers","Anti-vax is a form of eugenics, especially for the impoverished. Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn. https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/StlGal_36/status/1260951385673281536
