fb_uid	label_vax	name	category	fan_count	is_unclaimed	verification_status	link	posts.data.created_time	location.city	location.street	location.country	location.longitude	location.latitude	location.located_in	location.state	location.zip	concat.geography	capture_timestamp
103205113922	Pro Vaccination	VillageReach	Nonprofit Organization	2317	FALSE	gray_verified	https://www.facebook.com/VillageReach.org/	2019-09-30T16:42:24Z	Seattle	2900 Eastlake Ave E Ste 230	United States	-122.3241	47.64751	NA	WA	98102	NA	2019-09-30T23:56:30Z
11309713071	Pro Vaccination	Gates Foundation	Nonprofit Organization	1469984	FALSE	blue_verified	https://www.facebook.com/gatesfoundation/	2019-09-30T22:30:31Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:57:11Z
137266426445331	Pro Vaccination	Neyts Lab	Medical Research Center	1585	FALSE	not_verified	https://www.facebook.com/NeytsLab/	2019-09-30T02:53:10Z	Leuven	Herestraat 49	Belgium	4.693844	50.87772	194577097228633	NA	3000	NA	2019-09-30T23:57:52Z
103290639794819	Pro Vaccination	ACTION	Non-Governmental Organization (NGO)	944	FALSE	not_verified	https://www.facebook.com/ACTION.org/	2019-08-09T16:20:04Z	Washington	The ACTION Partnership C/O RESULTS Educational Fund 1101 15th Street NW, Suite 1200	United States	-77.03431	38.90401	NA	DC	20005	NA	2019-09-30T23:58:33Z
110213719003448	Pro Vaccination	The Arizona Partnership for Immunization	Nonprofit Organization	906	FALSE	not_verified	https://www.facebook.com/WhyImmunize/	2019-09-30T18:02:05Z	Phoenix	700 E Jefferson St, Ste 100	United States	-112.0649	33.44749	NA	AZ	85034	NA	2019-09-30T23:59:14Z
1131879476864838	Pro Vaccination	International Association of Immunization Managers Network	Nonprofit Organization	144	FALSE	not_verified	https://www.facebook.com/IAIMNetwork/	2019-06-04T13:00:02Z	Washington	2175 K STREET, NW, SUITE 400	United States	-77.04826	38.90279	NA	DC	20037	NA	2019-09-30T23:59:55Z
421677478185847	Anti Vaxxination	JABS: Justice, Awareness & Basic Support	Nonprofit Organization	3319	FALSE	not_verified	https://www.facebook.com/JABS-Justice-Awareness-Basic-Support-421677478185847/	2019-09-30T19:35:31Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:00:36Z
1115730541849453	Pro Vaccination	Immunisation Foundation of Australia	Charity Organization	5847	FALSE	not_verified	https://www.facebook.com/immunisationfoundation/	2019-09-27T02:08:19Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:01:16Z
1330559693708088	Pro Vaccination	Shot at Life KU	Nonprofit Organization	28	FALSE	not_verified	https://www.facebook.com/shotatlifeku/	2019-02-27T16:21:27Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:01:57Z
114403475331321	Pro Vaccination	Shot@Life	Nonprofit Organization	37107	FALSE	blue_verified	https://www.facebook.com/shotatlifecampaign/	2019-09-26T17:24:06Z	Washington	1750 Pennsylvania Ave NW, Ste 400	United States	-77.04087	38.89877	NA	DC	20006	NA	2019-10-01T00:02:38Z
