,Page,Members,Message,Date,Interactions
87,イシケンTV - ニュース解説 / 石田健,"7,666 Followers",日本でも目立つ反ワクチン活動家、新型コロナでも活発化するかも ・活動家、これまでSNSを駆使してデマを拡散。その知見を活用 ・迅速に開発される新型コロナワクチン、副作用に関する主張が受け入れられやすい ・存在感を出すゲイツ財、活動家が何度も陰謀論の対象に https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",5
88,Giovanni Bernardini,"2,673 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",5
89,Stephanie Gaglione,13 Followers,Lived with an anti-vaxxer once upon a time - this hits home :( Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",5
90,Silvia Cobo,"13,261 Followers","“Researchers found that Facebook pages pushing accurate pro-vaccine information were mostly clustered in an insular group, while the anti-vaccine pages treated vaccine resistance as a kind of political campaign, and used different messages to reach voters” https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",5
91,Joel Pavelski,"11,624 Followers","What if we develop a successful Covid-19 vaccine and a huge chunk of the population, pumped full of misinformation by Facebook and Fox News, just...refuses to take it? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",5
92,"Ani Shakarishvili,MD","5,286 Followers","Get Ready for a #Vaccine Information War: #Socialmedia is already filling up with misinformation about a #Covid19 vaccine, months or years before one even exists #coronavirus #vaccination #antivax https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html v @nytimes HT @picardonhealth","May 13, 2020",5
93,Andrew M. Lindner,"1,341 Followers","Look, I'll stay in my house as long as you want. Just don't bring this anti-vax, anti-science, YouTube conspiracy theory bullshit into my feed. Good piece in the NYT on this particular brand idiocy: https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html https://t.co/rJtppK8K7V","May 13, 2020",5
94,Eric Klinenberg,"15,472 Followers","""What if we get a Covid-19 vaccine and half the country refuses to take it?"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",5
95,Filip Struhárik,"5,306 Followers","""To recover from this pandemic, we need to mobilize a pro-vaccine movement (..) We need to do it quickly, with all the creativity and urgency of the scientists who are developing the vaccine itself."" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",4
96,"𝙅𝙚𝙨𝙪𝙨 𝘼𝙣𝙖𝙢𝙥𝙖 𝙈.𝘿,...","4,563 Followers","Get Ready for a Vaccine Information War Social media is already filling up with misinformation about a #Covid19 vaccine, months or years before one even exists What if we get a Covid-19 vaccine and half the country- or world- refuses to take it? @nytimes https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/RksS78RYRD","May 13, 2020",4
