,Page,Members,Message,Date,Interactions,hrefs
110,"Zeina Moukarzel, MD,MPH,MHA #S...","1,767 Followers","Even before a vaccine for #COVID19, #antivax campaigns. What if people refuse to get vaccinated once it is there? #VaccinesWork #MedTwitter #healthcare via @nytimes #كورونا #coronavirus https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",6,https://twitter.com/lamsalebanon/status/1260645774762770432
111,Laura M. Tilghman,332 Followers,"⚠️Important read b/c 1) anti-vax folks are increasingly part of protests against stay-at-home orders 2) people are counting on a vaccine to bring things ""back to normal"" as early as spring 2021 semester Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",6,https://twitter.com/LauraMTilghman/status/1260623870295511040
112,Dr. mem_somerville | Wossamott...,"6,105 Followers","“We found a real struggle online, where the public health establishment and its supporters are almost fighting in the wrong place.” #scicomm https://nyti.ms/2Aq0ag6","May 13, 2020",6,https://twitter.com/mem_somerville/status/1260598358957273093
113,Maria O'Hara ☘️,"4,667 Followers",Prenent apunts https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/r2U389pbSd,"May 16, 2020",5,https://twitter.com/bloodymary_85/status/1261657118144430080
114,Katie Knight,"2,114 Followers",Fascinating article. As and when the #COVID19 vaccine becomes available we need to be ready with a bold and proactive pro-vaccination social media strategy- are @RCPCHtweets ready for the challenge? @RCPCHPresident #vaccines #vaccination https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/BmeccWYMbj,"May 16, 2020",5,https://twitter.com/_katieknight_/status/1261551150400225280
115,NFID,"6,669 Followers","Get Ready for a #Vaccine Information War: Social media is already filling up with misinformation about a #COVID-19 vaccine, months or years before one even exists via @nytimes http://ow.ly/VRjA30qGn3T https://t.co/jzthJKQQ0c","May 15, 2020",5,https://twitter.com/NFIDvaccines/status/1261340713746231298
116,Michael Kruse,"20,625 Followers","“We found a real struggle online, where the public health establishment and its supporters are almost fighting in the wrong place.” https://nyti.ms/2YYUl3v","May 14, 2020",5,https://twitter.com/michaelkruse/status/1260921356960620545
117,Matt Kiser,"12,969 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html via @CurrentStatus,"May 14, 2020",5,https://twitter.com/Matt_Kiser/status/1260914514196942849
118,Stephen Walli,"3,020 Followers","Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html (Article tackles the well-trodden path of anti-vaxxers. It will become a national security problem as nation-states attempt to destabilize governments. Think Russia, NRA funding, and a Trump White House.)","May 14, 2020",5,https://twitter.com/stephenrwalli/status/1260780134530863104
119,イシケンTV - ニュース解説 / 石田健,"7,759 Followers",日本でも目立つ反ワクチン活動家、新型コロナでも活発化するかも ・活動家、これまでSNSを駆使してデマを拡散。その知見を活用 ・迅速に開発される新型コロナワクチン、副作用に関する主張が受け入れられやすい ・存在感を出すゲイツ財、活動家が何度も陰謀論の対象に https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",5,https://twitter.com/ishiken_bot/status/1260778629748813824
